ID,CW,c1,ST_c1_Mean,ST_c1_SD,Obs_c1,c2,ST_c2_Mean,ST_c2_SD,Obs_c2,ST_Juhasz,Mandera_c1,Mandera_c2
206,bloodshed,blood,5.469,1.164,32,shed,3.867,1.871,30,NA,0.707,0.765
207,bloodshot,blood,4.406,1.757,32,shot,3.469,1.670,32,NA,0.689,0.732
208,bloodstain,blood,5.688,1.469,32,stain,5.000,1.643,32,NA,0.580,0.548
209,bloodstock,blood,3.938,1.883,32,stock,3.367,1.474,30,NA,0.932,0.803
210,bloodstream,blood,5.484,1.313,31,stream,3.300,1.512,30,NA,0.623,0.785
211,bloodthirsty,blood,3.774,1.857,31,thirsty,3.750,1.872,32,NA,0.784,0.777
212,blowback,blow,3.188,1.768,32,back,2.933,1.574,30,NA,0.715,0.857
213,blowfish,blow,2.938,1.703,32,fish,5.067,1.680,30,NA,0.788,0.680
214,blowfly,blow,3.219,1.755,32,fly,3.563,1.976,32,NA,0.852,0.728
215,blowgun,blow,3.129,1.893,31,gun,4.032,1.816,31,NA,0.794,0.786
216,blowhard,blow,3.484,1.610,31,hard,2.594,1.767,32,NA,0.811,0.854
217,blowhole,blow,3.531,1.900,32,hole,4.333,1.936,30,NA,0.762,0.600
218,blowout,blow,3.531,1.883,32,out,3.000,1.596,31,NA,0.701,0.796
219,blowpipe,blow,3.969,1.858,32,pipe,4.400,1.850,30,NA,0.683,0.662
220,blowtorch,blow,3.406,1.949,32,torch,4.000,1.661,30,NA,0.664,0.687
221,blowup,blow,4.097,1.739,31,up,3.167,1.840,30,NA,0.827,0.929
222,Bluebeard,blue,2.656,1.807,32,beard,3.125,1.905,32,NA,NA,NA
223,bluebell,blue,3.290,1.395,31,bell,3.781,1.875,32,NA,0.879,0.999
224,blueberry,blue,3.774,1.820,31,berry,5.344,1.410,32,NA,0.758,0.661
225,bluebird,blue,4.032,1.798,31,bird,5.355,1.450,31,NA,0.738,0.765
226,bluecoat,blue,3.032,1.722,31,coat,4.097,1.894,31,NA,0.987,0.955
227,bluefish,blue,3.938,1.703,32,fish,4.742,1.697,31,NA,0.707,0.624
228,bluejacket,blue,3.387,1.667,31,jacket,4.406,1.706,32,NA,0.964,0.813
229,bluejay,blue,3.548,1.804,31,jay,3.344,2.046,32,NA,0.909,0.773
230,blueprint,blue,2.625,1.913,32,print,3.194,1.579,31,NA,0.921,0.861
231,boardroom,board,3.688,1.786,32,room,4.367,1.450,30,4.80,0.747,0.627
232,boardwalk,board,3.438,1.585,32,walk,3.900,1.749,30,4.40,0.830,0.675
233,boathouse,boat,4.938,1.740,32,house,4.367,1.520,30,NA,0.549,0.782
234,boatload,boat,3.968,1.835,31,load,3.645,1.473,31,NA,0.596,0.670
235,boatman,boat,4.484,1.589,31,man,4.750,1.673,32,NA,0.470,0.788
236,boatyards,boat,4.452,1.690,31,yards,3.875,1.928,32,NA,NA,NA
237,bobcat,bob,2.250,1.047,32,cat,4.226,1.995,31,NA,0.798,0.740
238,bobsled,bob,2.903,1.739,31,sled,4.065,2.032,31,NA,0.822,0.556
239,bobsleigh,bob,3.065,1.769,31,sleigh,4.097,1.955,31,NA,0.872,0.744
240,bobtail,bob,2.581,1.628,31,tail,3.484,1.805,31,NA,0.746,0.645
241,bodyguard,body,3.355,2.074,31,guard,5.774,1.087,31,5.64,0.811,0.574
242,bodyweight,body,4.452,1.480,31,weight,5.188,1.628,32,NA,NA,NA
243,bodywork,body,4.375,1.718,32,work,3.063,1.432,32,NA,0.772,0.972
244,bogeymen,bogey,3.313,1.447,32,men,3.375,1.767,32,NA,NA,NA
245,boldface,bold,4.156,1.668,32,face,3.233,1.278,30,NA,0.670,0.848
246,bombproof,bomb,4.406,1.965,32,proof,3.333,1.729,30,NA,0.838,0.945
247,bombshell,bomb,4.633,2.042,30,shell,3.233,1.654,30,NA,0.704,0.847
248,bombsight,bomb,3.839,1.393,31,sight,3.219,1.791,32,NA,0.637,0.786
249,bombsite,bomb,4.968,1.683,31,site,3.903,1.886,31,NA,0.741,0.843
250,bondsman,bonds,3.548,1.502,31,man,4.000,1.632,32,NA,NA,0.586
251,bonehead,bone,3.625,1.827,32,head,2.767,1.382,30,NA,0.803,0.701
252,bonemeal,bone,3.469,1.524,32,meal,3.000,1.683,32,NA,NA,NA
253,bookcase,book,5.258,1.632,31,case,3.774,1.892,31,NA,0.632,0.884
254,bookclub,book,4.781,1.755,32,club,4.167,1.783,30,NA,NA,NA
255,bookend,book,3.969,1.787,32,end,2.759,1.272,29,NA,0.920,0.791
256,booklet,book,4.452,1.804,31,let,2.281,1.716,32,NA,0.691,0.985
257,booklists,book,5.065,1.769,31,lists,4.031,2.129,32,NA,NA,NA
258,bookmark,book,5.065,1.611,31,mark,4.267,1.680,30,NA,0.743,0.958
259,bookmobile,book,3.742,1.712,31,mobile,3.094,1.982,32,NA,0.769,0.910
260,bookshelf,book,5.129,1.688,31,shelf,5.433,1.331,30,NA,0.640,0.647
261,bookshop,book,4.969,1.926,32,shop,5.344,1.453,32,NA,0.594,0.628
262,bookstall,book,5.000,1.566,32,stall,4.781,1.727,32,NA,0.695,0.680
263,bookwork,book,4.000,1.760,32,work,3.867,1.943,30,NA,0.660,0.855
264,bookworm,book,4.594,1.643,32,worm,2.400,1.694,30,NA,0.629,0.831
265,boomtown,boom,3.419,1.361,31,town,3.063,1.798,32,NA,0.771,0.688
266,bootlace,boot,4.875,1.792,32,lace,4.000,1.713,31,NA,0.822,0.845
267,bootleg,boot,3.469,1.967,32,leg,2.710,1.575,31,NA,0.873,0.945
268,bootstraps,boot,3.839,1.809,31,straps,3.563,1.947,32,NA,NA,NA
269,borderland,border,4.839,1.440,31,land,3.733,1.337,30,NA,0.741,0.795
270,borderline,border,4.406,1.794,32,line,3.400,1.632,30,5.77,0.906,0.870
271,bottleneck,bottle,4.032,1.853,31,neck,3.100,1.605,30,4.60,0.972,0.915
272,bowman,bow,4.516,1.610,31,man,4.031,1.941,32,NA,0.834,0.836
273,bowstring,bow,4.387,1.927,31,string,4.267,1.484,30,NA,0.565,0.644
274,boxcar,box,3.438,1.703,32,car,3.710,1.532,31,NA,0.823,0.747
275,boxwood,box,3.625,1.737,32,wood,4.200,1.750,30,NA,0.769,0.537
276,boyfriend,boy,5.097,1.660,31,friend,4.767,1.716,30,5.73,0.554,0.359
277,boyhood,boy,5.097,1.795,31,hood,2.125,1.549,32,3.64,0.691,0.824
278,brainchild,brain,4.129,1.586,31,child,3.750,1.951,32,NA,0.948,0.967
279,brainstorm,brain,3.844,2.081,32,storm,2.300,1.393,30,NA,0.851,0.897
280,brainwash,brain,4.516,1.877,31,wash,3.067,1.818,30,NA,0.816,0.786
281,brainwave,brain,4.406,2.092,32,wave,4.000,1.847,31,NA,0.653,0.782
282,brakeman,brake,4.581,1.544,31,man,3.156,1.797,32,NA,0.671,0.759
283,breadbasket,bread,4.406,2.014,32,basket,4.333,1.446,30,NA,0.749,0.820
284,breadboard,bread,3.806,2.136,31,board,4.000,2.000,30,NA,0.945,0.901
285,breadcrumb,bread,5.250,1.524,32,crumb,4.710,1.608,31,NA,0.845,0.626
