ID,CW,c1,ST_c1_Mean,ST_c1_SD,Obs_c1,c2,ST_c2_Mean,ST_c2_SD,Obs_c2,ST_Juhasz,Mandera_c1,Mandera_c2
2140,shoreline,shore,5.094,1.634,32,line,3.533,1.613,30,NA,0.488,0.839
2141,shortbread,short,3.031,1.713,32,bread,4.375,1.823,32,NA,0.940,0.694
2142,shortcake,short,2.781,2.075,32,cake,4.938,1.832,32,NA,0.823,0.510
2143,shortcoming,short,3.742,1.570,31,coming,3.656,1.803,32,NA,0.921,1.053
2144,shortcut,short,4.194,1.833,31,cut,3.065,1.825,31,NA,0.930,0.925
2145,shortfall,short,2.969,1.616,32,fall,3.167,1.683,30,NA,0.917,0.909
2146,shorthand,short,3.500,1.760,32,hand,3.156,1.802,32,NA,0.923,0.933
2147,shortsighted,short,3.800,1.606,30,sighted,3.813,1.957,32,NA,0.816,0.766
2148,shortstop,short,3.031,1.675,32,stop,3.129,1.586,31,NA,0.801,0.790
2149,shotgun,shot,4.290,1.596,31,gun,5.433,1.924,30,5.53,0.555,0.385
2150,showbiz,show,4.839,1.551,31,biz,3.967,1.650,30,NA,0.708,0.696
2151,showboat,show,3.710,1.755,31,boat,4.100,1.863,30,NA,0.644,0.661
2152,showcase,show,5.161,1.791,31,case,2.677,1.351,31,NA,0.636,0.993
2153,showdown,show,3.656,1.677,32,down,2.900,1.826,30,NA,0.742,0.811
2154,showerhead,shower,4.258,1.843,31,head,3.563,1.841,32,NA,0.595,0.766
2155,showgirl,show,4.452,1.729,31,girl,4.100,1.423,30,NA,0.634,0.625
2156,showman,show,4.290,1.510,31,man,4.188,1.621,32,NA,0.680,0.732
2157,showpiece,show,3.656,1.658,32,piece,3.194,1.721,31,NA,0.804,0.905
2158,showplace,show,4.419,1.478,31,place,3.667,1.398,30,NA,0.838,0.759
2159,showroom,show,4.375,1.897,32,room,4.467,1.592,30,NA,0.858,0.817
2160,shuffleboard,shuffle,3.469,1.814,32,board,3.844,1.914,32,NA,0.816,0.739
2161,shutdown,shut,4.219,1.913,32,down,2.903,1.832,31,4.15,0.717,0.841
2162,shuttlecock,shuttle,3.903,2.055,31,cock,2.290,1.596,31,NA,0.800,0.695
2163,sickbay,sick,5.194,1.905,31,bay,3.188,1.653,32,3.75,0.737,0.740
2164,sickbed,sick,5.258,1.673,31,bed,4.467,1.756,30,5.08,0.676,0.650
2165,sickroom,sick,4.516,1.981,31,room,4.438,1.525,32,5.36,0.691,0.732
2166,sidearms,side,3.581,1.649,31,arms,3.594,1.964,32,NA,NA,NA
2167,sideboard,side,3.581,1.803,31,board,3.467,1.332,30,NA,0.824,0.887
2168,sidecar,side,3.313,1.615,32,car,3.379,1.879,29,NA,0.825,0.649
2169,sidechairs,side,3.290,1.657,31,chairs,3.688,2.088,32,NA,NA,NA
2170,sidekick,side,4.194,1.740,31,kick,2.667,1.749,30,NA,0.832,0.750
2171,sidelight,side,3.969,1.732,32,light,3.467,1.717,30,NA,0.862,0.715
2172,sideline,side,4.156,1.886,32,line,3.267,2.033,30,NA,0.861,0.798
2173,sidelong,side,3.969,1.534,32,long,3.161,1.828,31,NA,0.847,0.865
2174,sidesaddle,side,3.613,1.564,31,saddle,4.567,1.675,30,NA,0.830,0.620
2175,sideshow,side,3.563,1.831,32,show,3.700,1.622,30,NA,0.965,0.705
2176,sidestep,side,3.625,1.879,32,step,4.567,1.431,30,NA,0.887,0.814
2177,sidestroke,side,3.452,1.748,31,stroke,2.844,2.212,32,NA,0.854,0.760
2178,sideswipe,side,3.031,1.379,32,swipe,4.433,1.716,30,NA,0.934,0.851
2179,sidetrack,side,4.188,1.554,32,track,3.167,1.510,30,NA,0.859,0.836
2180,sidewalk,side,4.355,1.780,31,walk,4.344,1.514,32,NA,0.683,0.500
2181,sidewise,side,3.871,1.746,31,wise,3.063,1.975,32,NA,0.778,0.892
2182,sightsee,sight,4.906,1.653,32,see,4.871,1.586,31,5.80,0.815,0.750
2183,signpost,sign,5.300,1.418,30,post,4.323,1.545,31,5.13,0.863,0.997
2184,silkworm,silk,5.313,1.768,32,worm,5.438,1.336,32,4.38,0.568,0.633
2185,silverfish,silver,3.645,1.854,31,fish,3.469,2.229,32,NA,0.810,0.608
2186,silversmith,silver,4.531,1.866,32,smith,4.033,2.157,30,NA,0.621,0.838
2187,silverware,silver,4.469,1.866,32,ware,3.258,1.692,31,NA,0.631,0.806
2188,singsong,sing,4.563,2.285,32,song,4.333,1.729,30,4.77,0.624,0.617
2189,sinkhole,sink,4.281,1.818,32,hole,4.094,2.002,32,NA,0.800,0.638
2190,sisterhood,sister,4.452,1.859,31,hood,3.188,1.962,32,3.71,0.672,0.882
2191,skateboard,skate,4.813,1.891,32,board,4.097,1.599,31,5.53,0.334,0.848
2192,sketchbook,sketch,5.452,1.410,31,book,5.323,1.291,31,6.13,0.530,0.642
2193,sketchpad,sketch,5.419,1.566,31,pad,4.875,1.423,32,NA,0.609,0.753
2194,skidpan,skid,3.563,1.759,32,pan,2.750,1.537,32,NA,0.606,0.805
2195,skilift,ski,4.125,1.809,32,lift,3.300,1.601,30,NA,NA,NA
2196,skindive,skin,3.290,1.657,31,dive,3.333,1.807,30,NA,NA,NA
2197,skinflint,skin,3.094,1.594,32,flint,3.000,1.462,30,NA,0.884,0.926
2198,skinhead,skin,3.281,1.836,32,head,3.156,1.627,32,4.69,0.750,0.717
2199,skiway,ski,4.438,1.865,32,way,3.625,1.716,32,NA,NA,NA
2200,skullcap,skull,4.387,1.995,31,cap,3.969,1.788,32,5.42,0.776,0.663
2201,skydive,sky,4.452,1.912,31,dive,3.469,2.157,32,NA,0.800,0.615
2202,skyhook,sky,3.781,1.560,32,hook,3.967,1.732,30,NA,0.793,0.858
2203,skyjack,sky,3.750,1.646,32,jack,2.867,1.776,30,NA,NA,NA
2204,skylark,sky,3.935,1.526,31,lark,3.323,1.759,31,NA,0.728,0.559
2205,skylight,sky,4.750,1.666,32,light,4.516,1.860,31,NA,0.740,0.659
2206,skyline,sky,4.781,1.791,32,line,2.935,1.462,31,NA,0.710,0.903
2207,skyrocket,sky,4.781,1.641,32,rocket,4.793,1.677,29,NA,0.880,0.826
2208,skyway,sky,4.516,1.730,31,way,2.781,1.907,32,NA,0.786,0.680
2209,slagheap,slag,3.438,1.645,32,heap,3.233,1.569,30,NA,NA,NA
2210,slapdash,slap,3.438,1.544,32,dash,2.355,1.446,31,NA,0.835,0.796
2211,slaphappy,slap,3.063,1.625,32,happy,2.871,1.231,31,NA,0.780,0.736
2212,slapstick,slap,3.281,1.764,32,stick,2.633,1.790,30,2.91,0.779,0.798
2213,slaughterhouse,slaughter,4.688,2.101,32,house,3.781,1.828,32,NA,0.517,0.830
2214,sledgehammer,sledge,3.375,1.792,32,hammer,4.323,1.831,31,NA,0.763,0.506
2215,sleepwalk,sleep,4.839,1.846,31,walk,4.300,1.418,30,6.00,0.726,0.813
2216,sleepyhead,sleepy,4.839,1.791,31,head,2.594,1.877,32,NA,0.550,0.648
2217,slingshot,sling,4.774,1.839,31,shot,4.700,1.512,30,5.13,0.604,0.713
2218,slipcover,slip,3.563,1.813,32,cover,3.567,1.755,30,NA,0.752,0.719
2219,slipknot,slip,3.594,1.864,32,knot,4.133,1.383,30,NA,0.898,0.939
2220,slipover,slip,4.250,1.814,32,over,3.516,1.525,31,NA,0.746,0.745
2221,slipshod,slip,3.406,1.847,32,shod,2.677,1.442,31,NA,0.726,0.849
2222,slipstream,slip,3.484,1.671,31,stream,3.367,1.650,30,NA,0.844,0.831
2223,slowpoke,slow,4.323,1.815,31,poke,2.344,1.865,32,3.14,0.671,0.767
2224,smallpox,small,2.375,1.540,32,pox,5.033,1.691,30,NA,0.921,0.515
2225,smalltime,small,3.625,1.338,32,time,2.900,1.423,30,NA,0.861,0.768
2226,smokehouse,smoke,4.688,1.554,32,house,3.871,1.866,31,NA,0.748,0.844
2227,smokescreen,smoke,4.968,1.643,31,screen,3.500,1.691,32,NA,0.779,0.893
2228,smokestack,smoke,4.000,1.666,32,stack,2.900,1.348,30,NA,0.820,0.871
2229,smoothbore,smooth,3.452,1.710,31,bore,2.767,1.501,30,NA,0.907,0.797
2230,snakebite,snake,5.161,1.734,31,bite,4.800,1.648,30,6.73,0.635,0.616
2231,snapback,snap,3.742,1.999,31,back,2.813,1.910,32,NA,0.786,0.853
2232,snapdragon,snap,2.813,1.822,32,dragon,3.300,1.418,30,2.25,0.866,0.787
2233,snapshot,snap,4.677,2.006,31,shot,4.032,1.760,31,4.00,0.793,0.874
2234,snowball,snow,5.594,1.542,32,ball,4.967,1.450,30,NA,0.602,0.820
2235,snowblind,snow,4.452,1.767,31,blind,2.667,1.348,30,NA,NA,NA
2236,snowbound,snow,4.438,1.564,32,bound,3.433,1.813,30,NA,0.598,0.849
2237,snowdrift,snow,4.419,1.708,31,drift,3.700,1.765,30,NA,0.560,0.665
2238,snowfall,snow,6.000,1.065,31,fall,3.400,1.499,30,NA,0.404,0.839
2239,snowfield,snow,4.469,1.849,32,field,4.567,1.675,30,NA,0.639,0.793
2240,snowflake,snow,5.968,1.016,31,flake,4.900,1.583,30,NA,0.560,0.722
2241,snowman,snow,5.710,1.346,31,man,3.548,1.524,31,NA,0.515,0.793
2242,snowplough,snow,4.903,1.795,31,plough,3.903,1.739,31,NA,NA,NA
2243,snowshoe,snow,4.355,1.872,31,shoe,4.906,1.700,32,NA,0.544,0.784
2244,snowstorm,snow,5.613,1.430,31,storm,4.833,1.510,30,NA,0.485,0.512
2245,soapbox,soap,4.100,1.989,30,box,3.433,1.382,30,4.50,0.870,1.005
2246,soapstone,soap,3.167,1.440,30,stone,2.833,1.416,30,NA,0.870,0.623
2247,softball,soft,3.290,1.811,31,ball,4.867,1.548,30,NA,0.843,0.566
2248,software,soft,2.323,1.681,31,ware,2.516,1.458,31,NA,1.078,0.913
2249,softwood,soft,3.563,1.740,32,wood,4.700,1.765,30,NA,0.803,0.475
2250,someday,some,3.313,1.491,32,day,4.000,1.259,30,NA,0.622,0.592
2251,somehow,some,3.375,1.680,32,how,2.594,1.283,32,NA,0.626,0.541
2252,someone,some,3.094,1.766,32,one,3.452,1.841,31,NA,0.564,0.479
2253,someplace,some,3.290,1.987,31,place,4.219,2.077,32,NA,0.597,0.425
2254,something,some,4.125,1.996,32,thing,4.700,1.878,30,NA,0.437,0.382
2255,sometime,some,3.594,1.898,32,time,3.233,1.654,30,NA,0.566,0.519
2256,somewhat,some,3.469,1.685,32,what,2.500,1.526,30,NA,0.845,0.899
2257,somewhere,some,3.188,1.693,32,where,3.500,1.635,30,NA,0.555,0.319
2258,songbird,song,4.313,1.768,32,bird,4.719,1.687,32,5.86,0.627,0.562
2259,songbook,song,4.563,1.777,32,book,5.194,1.579,31,5.77,0.562,0.736
2260,soundproof,sound,4.656,2.010,32,proof,3.433,2.096,30,5.07,0.641,0.886
2261,soundtrack,sound,5.438,1.366,32,track,4.167,1.704,30,4.00,0.590,0.776
2262,sourdough,sour,3.563,2.031,32,dough,4.207,1.373,29,5.00,0.698,0.643
2263,sourpuss,sour,3.094,1.553,32,puss,2.656,1.476,32,NA,0.704,0.746
2264,southbound,south,4.438,1.883,32,bound,3.419,1.649,31,NA,0.690,0.740
2265,southeast,south,4.219,1.718,32,east,3.548,1.609,31,NA,0.474,0.438
2266,southpaw,south,2.688,1.447,32,paw,3.133,1.925,30,NA,0.795,0.846
2267,southwest,south,3.677,1.701,31,west,4.467,1.925,30,NA,0.488,0.533
2268,soybean,soy,5.677,1.077,31,bean,5.167,1.555,30,5.64,0.562,0.683
2269,soysauce,soy,5.000,1.814,32,sauce,5.258,1.673,31,NA,NA,NA
2270,spacecraft,space,4.906,2.053,32,craft,3.367,1.299,30,NA,0.468,0.597
2271,spaceship,space,4.806,1.957,31,ship,4.000,2.049,31,NA,0.483,0.430
2272,spacesuit,space,5.000,1.760,32,suit,4.548,1.548,31,NA,0.629,0.685
2273,speakeasy,speak,3.226,1.431,31,easy,2.063,1.291,32,NA,0.935,0.989
2274,speakership,speaker,4.323,1.922,31,ship,2.750,2.036,32,NA,0.692,0.918
2275,spearhead,spear,4.719,1.571,32,head,3.067,1.574,30,NA,0.817,0.829
2276,speedboat,speed,4.344,1.807,32,boat,5.613,1.174,31,6.00,0.753,0.490
2277,speedup,speed,4.774,1.586,31,up,3.281,1.924,32,NA,NA,NA
2278,speedway,speed,4.375,1.621,32,way,4.000,1.781,30,NA,0.837,0.838
2279,spellbound,spell,3.969,1.750,32,bound,3.667,1.516,30,4.07,0.705,0.869
2280,spendthrift,spend,4.129,2.320,31,thrift,3.500,2.047,30,4.55,0.705,0.673
2281,spillover,spill,4.719,1.764,32,over,2.935,1.569,31,4.50,0.909,0.913
2282,spitfire,spit,3.344,1.558,32,fire,3.067,1.530,30,NA,0.816,0.907
2283,splashdown,splash,4.125,1.845,32,down,3.129,1.607,31,NA,0.669,0.803
2284,spoilsport,spoil,3.656,1.789,32,sport,2.323,1.351,31,NA,0.761,0.822
2285,sponsorship,sponsor,5.548,1.312,31,ship,2.813,1.936,32,NA,0.357,1.089
2286,spoonfeed,spoon,4.000,1.901,32,feed,4.433,1.591,30,NA,NA,NA
2287,sportsman,sports,4.903,1.660,31,man,3.750,1.983,32,NA,0.609,0.672
2288,spotlight,spot,3.871,2.109,31,light,5.500,1.387,32,5.33,0.767,0.631
2289,spreadable,spread,5.258,1.591,31,able,2.667,1.749,30,NA,NA,NA
2290,springboard,spring,3.688,1.958,32,board,4.533,1.814,30,NA,0.870,1.012
2291,springtide,spring,4.097,1.640,31,tide,3.375,2.090,32,NA,0.801,0.766
2292,springtime,spring,4.844,1.851,32,time,4.100,1.788,30,NA,0.416,0.811
2293,spyglass,spy,3.875,2.196,32,glass,3.367,1.608,30,4.36,0.861,0.767
2294,stagecoach,stage,3.656,2.026,32,coach,3.733,1.660,30,3.93,0.974,0.754
2295,staircase,stair,6.133,1.137,30,case,2.467,1.570,30,3.53,0.347,0.854
2296,stairway,stair,5.581,1.649,31,way,3.933,1.721,30,4.07,0.505,0.626
2297,stairwell,stair,4.677,1.904,31,well,2.367,1.608,30,3.40,0.554,0.845
2298,stakeout,stake,3.625,1.601,32,out,2.600,1.248,30,NA,0.904,0.638
2299,stalemate,stale,3.806,1.352,31,mate,2.633,1.351,30,2.92,0.849,0.905
2300,standby,stand,3.219,1.809,32,by,2.733,1.311,30,NA,0.802,0.947
2301,standpoint,stand,3.938,1.564,32,point,3.484,1.691,31,NA,0.859,0.729
2302,standstill,stand,4.219,1.879,32,still,4.367,1.771,30,NA,0.890,0.872
2303,starboard,star,3.233,1.888,30,board,3.548,1.786,31,NA,0.895,0.780
2304,stardust,star,3.813,2.023,32,dust,4.100,1.647,30,NA,0.698,0.644
2305,starfish,star,4.438,1.900,32,fish,3.567,1.813,30,NA,0.835,0.627
2306,starlight,star,5.000,1.586,32,light,4.933,1.388,30,NA,0.660,0.673
2307,starlit,star,3.969,1.959,32,lit,3.867,1.525,30,NA,0.705,0.688
2308,statehood,state,3.742,1.612,31,hood,3.219,2.002,32,NA,0.736,0.945
2309,statehouse,state,4.226,1.647,31,house,3.844,1.772,32,NA,0.746,0.756
2310,stateroom,state,3.656,2.057,32,room,3.742,1.505,31,NA,0.861,0.544
2311,stateside,state,4.194,1.600,31,side,3.438,2.029,32,4.14,0.875,0.908
2312,statesman,states,4.613,1.498,31,man,3.844,1.910,32,NA,NA,0.775
2313,statewide,state,4.063,2.078,32,wide,3.333,1.749,30,NA,0.551,0.977
2314,stationmaster,station,3.935,1.825,31,master,3.484,1.958,32,5.15,0.591,0.879
2315,steadfast,stead,2.839,1.675,31,fast,3.063,1.581,32,2.71,0.810,0.917
2316,steamboat,steam,4.677,1.815,31,boat,3.700,2.168,30,NA,0.629,0.569
2317,steamship,steam,4.719,1.764,32,ship,4.594,1.997,32,NA,0.656,0.554
2318,steelyard,steel,4.188,1.908,32,yard,3.594,1.684,32,NA,0.772,0.782
2319,steeplechase,steeple,3.355,1.644,31,chase,2.767,1.223,30,NA,0.770,0.823
2320,steeplejack,steeple,2.935,1.548,31,jack,2.938,1.622,32,NA,0.906,0.957
2321,stepbrother,step,1.903,1.469,31,brother,5.161,1.293,31,NA,0.834,0.552
2322,stepchild,step,2.400,1.734,30,child,5.000,1.145,30,NA,0.815,0.571
2323,stepdaughter,step,2.656,1.558,32,daughter,4.267,1.552,30,NA,0.842,0.393
2324,stepfather,step,2.344,1.578,32,father,4.833,1.683,30,NA,0.789,0.487
2325,stepladder,step,4.613,1.687,31,ladder,4.581,2.110,31,NA,0.714,0.483
2326,stepmother,step,2.156,1.462,32,mother,4.767,1.716,30,NA,0.846,0.412
2327,stepsister,step,2.875,2.091,32,sister,4.968,1.835,31,NA,0.846,0.499
2328,stereoscope,stereo,3.233,1.736,30,scope,2.969,1.652,32,NA,0.746,0.843
2329,stereotype,stereo,4.065,2.032,31,type,2.813,1.936,32,NA,0.915,0.659
2330,stewardship,steward,5.161,1.635,31,ship,3.469,1.823,32,NA,0.833,0.962
2331,stickpin,stick,3.484,1.768,31,pin,3.300,1.317,30,NA,0.702,0.685
2332,stillbirth,still,3.355,1.817,31,birth,3.419,1.785,31,NA,0.918,0.481
2333,stillborn,still,3.438,1.900,32,born,3.400,2.127,30,NA,0.755,0.541
2334,stingray,sting,4.033,1.671,30,ray,2.897,1.896,29,4.47,0.682,0.784
2335,stockbroker,stock,4.710,1.657,31,broker,4.438,1.874,32,NA,0.656,0.644
2336,stockcar,stock,3.438,1.848,32,car,4.100,1.647,30,NA,0.898,0.707
2337,stockpile,stock,4.844,1.547,32,pile,4.233,1.612,30,NA,0.823,0.820
2338,stockpot,stock,3.406,1.583,32,pot,3.839,1.985,31,NA,0.845,0.736
2339,stockroom,stock,4.469,1.685,32,room,4.700,1.765,30,NA,0.753,0.702
2340,stockyard,stock,3.969,1.875,32,yard,4.267,1.701,30,NA,0.907,0.680
2341,stomachache,stomach,4.677,1.796,31,ache,3.656,2.402,32,6.40,0.480,0.529
2342,stonemason,stone,3.688,1.925,32,mason,4.300,1.915,30,NA,0.659,0.634
2343,stonewall,stone,5.156,1.648,32,wall,4.533,1.717,30,NA,0.895,0.850
2344,stoneware,stone,5.000,1.528,31,ware,3.933,1.596,30,NA,0.790,0.531
2345,stonework,stone,5.065,1.340,31,work,4.167,1.683,30,NA,0.653,0.932
2346,stopcock,stop,2.875,1.792,32,cock,2.400,1.429,30,NA,0.773,0.814
2347,stopover,stop,4.594,1.864,32,over,3.167,1.683,30,NA,0.880,0.849
2348,stoppage,stop,5.000,1.592,31,page,2.781,1.936,32,NA,0.860,0.939
2349,stopwatch,stop,3.844,1.798,32,watch,5.194,1.642,31,NA,0.849,0.690
2350,storefront,store,4.656,1.405,32,front,4.300,1.765,30,NA,0.646,0.746
2351,storehouse,store,5.000,1.760,32,house,4.333,1.422,30,NA,0.791,0.777
2352,storekeeper,store,4.258,1.914,31,keeper,4.188,1.846,32,NA,0.682,0.786
2353,storeroom,store,4.938,1.865,32,room,4.933,0.868,30,NA,0.693,0.458
2354,stormbound,storm,4.813,1.554,32,bound,3.219,1.712,32,NA,0.765,0.801
2355,storybook,story,5.567,1.278,30,book,5.533,1.479,30,NA,0.738,0.627
2356,storyline,story,5.581,1.385,31,line,2.533,1.479,30,NA,0.552,0.850
2357,storyteller,story,3.903,1.921,31,teller,4.281,2.003,32,NA,0.613,0.588
2358,stovepipe,stove,4.219,1.755,32,pipe,3.900,1.845,30,4.83,0.697,0.593
2359,stowaway,stow,4.063,1.933,32,away,3.065,1.647,31,4.50,0.789,0.782
2360,straightaway,straight,4.000,2.016,32,away,2.667,1.845,30,NA,0.782,0.725
2361,straightedge,straight,3.097,1.850,31,edge,3.719,2.074,32,NA,0.579,0.635
2362,straightway,straight,4.733,1.552,31,way,3.161,1.591,31,NA,0.737,0.729
2363,straitjacket,strait,2.516,1.458,31,jacket,3.750,1.869,32,NA,0.846,0.726
2364,stranglehold,strangle,4.250,1.666,32,hold,3.563,1.872,32,NA,0.700,0.900
2365,strawberry,straw,2.806,1.701,31,berry,4.719,2.006,32,NA,0.805,0.650
2366,streamline,stream,4.281,1.708,32,line,2.871,1.803,31,3.93,0.958,0.946
2367,streamside,stream,4.188,1.731,32,side,3.367,1.629,30,NA,0.713,0.821
2368,streetcar,street,4.313,1.891,32,car,4.633,1.671,30,NA,0.784,0.665
2369,streetlight,street,4.935,1.861,31,light,5.226,1.726,31,NA,0.731,0.586
2370,strikebound,strike,4.129,1.607,31,bound,2.867,1.479,30,NA,NA,NA
2371,striptease,strip,4.194,1.922,31,tease,3.563,1.728,32,5.27,0.603,0.616
2372,strongarm,strong,4.133,1.634,30,arm,3.344,1.963,32,NA,NA,NA
2373,strongbox,strong,3.406,1.757,32,box,3.467,1.776,30,NA,0.983,0.815
2374,stronghold,strong,4.313,1.804,32,hold,3.968,1.835,31,NA,0.894,0.857
2375,sugarcane,sugar,4.813,1.575,32,cane,3.750,1.917,32,NA,0.676,0.585
2376,sugarloaf,sugar,3.594,1.720,32,loaf,4.156,1.978,32,NA,0.788,0.750
2377,suitcase,suit,3.355,2.026,31,case,4.233,1.524,30,NA,0.708,0.667
2378,summate,sum,4.033,1.884,30,mate,3.067,1.721,30,NA,0.896,0.901
2379,summertime,summer,6.065,1.181,31,time,3.903,2.055,31,NA,0.534,0.726
2380,sunbaked,sun,3.387,1.944,31,baked,4.438,2.013,32,NA,NA,NA
2381,sunbathe,sun,4.750,1.918,32,bathe,4.000,1.682,30,NA,0.658,0.596
2382,sunbeam,sun,5.281,1.782,32,beam,4.133,1.613,30,5.93,0.841,0.923
2383,sunblind,sun,4.516,1.630,31,blind,3.645,1.743,31,NA,NA,NA
2384,sunbonnet,sun,3.719,1.727,32,bonnet,3.733,2.083,30,NA,0.764,0.782
2385,sunburn,sun,4.750,1.814,32,burn,4.800,0.961,30,6.36,0.578,0.687
2386,sunburst,sun,4.188,1.693,32,burst,3.344,1.647,32,NA,0.839,0.910
2387,Sunday,sun,2.774,1.499,31,day,4.844,2.261,32,1.93,NA,NA
2388,sundeck,sun,4.406,1.811,32,deck,4.367,1.542,30,NA,0.675,0.545
2389,sundew,sun,4.226,1.707,31,dew,4.094,1.921,32,NA,0.816,0.697
2390,sundial,sun,4.900,2.107,30,dial,3.567,1.794,30,NA,0.759,0.699
2391,sundown,sun,4.258,1.825,31,down,3.500,1.925,30,6.07,0.685,0.709
2392,sunfish,sun,2.452,1.387,31,fish,4.613,1.856,31,NA,0.771,0.551
2393,sunflower,sun,3.500,1.867,32,flower,5.813,1.078,32,5.07,0.846,0.654
2394,sunglasses,sun,4.290,1.637,31,glasses,5.000,1.853,32,NA,0.690,0.423
2395,sunlamp,sun,4.194,1.740,31,lamp,4.452,1.546,31,4.54,0.699,0.737
2396,sunlight,sun,5.938,1.413,32,light,5.387,1.498,31,6.77,0.420,0.531
2397,sunlit,sun,4.969,1.926,32,lit,4.467,1.570,30,NA,0.642,0.813
2398,sunray,sun,5.344,1.537,32,ray,5.267,1.484,30,NA,0.783,0.762
2399,sunrise,sun,5.129,1.628,31,rise,3.933,1.701,30,6.64,0.544,0.699
2400,sunroof,sun,4.839,1.753,31,roof,4.710,1.677,31,5.57,0.762,0.705
2401,sunset,sun,5.406,1.521,32,set,3.100,1.918,30,5.27,0.562,0.721
2402,sunshade,sun,4.313,2.007,32,shade,4.290,1.901,31,NA,0.727,0.586
2403,sunshield,sun,4.156,1.648,32,shield,3.969,1.700,32,NA,NA,NA
2404,sunshine,sun,5.774,1.383,31,shine,4.645,1.743,31,6.00,0.511,0.538
2405,sunspot,sun,4.226,2.012,31,spot,3.867,1.961,30,4.71,0.662,0.909
2406,sunstroke,sun,4.906,1.553,32,stroke,3.733,1.721,30,4.86,0.651,0.726
2407,suntan,sun,4.875,1.862,32,tan,5.188,1.784,32,5.79,0.579,0.503
2408,superfine,super,3.742,1.731,31,fine,3.594,2.111,32,NA,0.810,0.795
2409,superhuman,super,3.935,1.769,31,man,3.688,1.647,32,5.93,0.650,0.738
2410,superimpose,super,2.903,1.326,31,impose,4.594,1.690,32,4.07,0.921,0.882
2411,superman,super,3.161,1.655,31,man,4.813,1.897,32,5.29,0.648,0.672
2412,supermarket,super,3.323,1.600,31,market,5.125,1.914,32,4.29,0.834,0.768
2413,supersonic,super,3.419,1.785,31,sonic,4.656,1.564,32,4.80,0.757,0.668
2414,superstar,super,3.484,1.671,31,star,3.375,1.976,32,4.60,0.698,0.602
2415,supervision,super,3.600,1.831,31,vision,4.094,2.089,32,4.33,0.985,1.028
2416,surefire,sure,3.188,1.908,32,fire,2.733,1.230,30,NA,0.692,0.822
2417,surfboard,surf,5.031,1.448,32,board,3.900,1.348,30,6.36,0.457,0.639
2418,swanlike,swan,5.156,1.547,32,like,2.483,1.765,29,NA,0.872,0.721
2419,sweatband,sweat,4.933,1.741,30,band,3.700,1.878,30,NA,0.743,0.895
2420,sweatshirt,sweat,3.781,1.791,32,shirt,5.258,1.184,31,NA,0.735,0.400
2421,sweatshop,sweat,3.156,1.798,32,shop,3.742,1.825,31,NA,0.665,0.665
2422,sweepstake,sweep,3.355,1.305,31,stake,3.233,1.755,30,NA,0.856,0.767
2423,sweetbread,sweet,3.719,1.571,32,bread,4.400,1.793,30,NA,0.701,0.764
2424,sweetbriar,sweet,3.125,1.879,32,briar,2.600,1.133,30,NA,NA,NA
2425,sweetheart,sweet,4.281,1.800,32,heart,4.156,1.828,32,NA,0.422,0.630
2426,swimsuit,swim,5.375,1.641,32,suit,3.483,1.703,29,5.87,0.626,0.640
2427,switchback,switch,3.094,1.766,32,back,3.367,1.474,30,NA,0.953,0.788
2428,switchblade,switch,3.313,1.958,32,blade,4.000,1.648,29,NA,0.828,0.675
2429,switchboard,switch,4.563,1.831,32,board,3.621,1.635,29,NA,0.785,0.945
2430,switchgear,switch,3.625,1.947,32,gear,3.833,1.510,30,NA,0.741,0.781
2431,switchman,switch,4.645,1.380,31,man,4.188,1.957,32,NA,0.729,0.832
2432,swordfish,sword,3.344,1.807,32,fish,5.633,1.474,30,NA,0.822,0.553
2433,swordplay,sword,4.875,1.661,32,play,4.032,1.517,31,NA,0.529,0.712
2434,swordstick,sword,4.438,1.605,32,stick,3.594,1.579,32,NA,0.737,0.770
2435,tablecloth,table,5.031,1.713,32,cloth,5.032,1.378,31,NA,0.510,0.542
2436,tablespoon,table,3.313,1.857,32,spoon,5.516,1.435,31,NA,0.809,0.631
2437,tableware,table,4.438,1.933,32,ware,3.400,1.380,30,NA,0.706,0.572
2438,tailback,tail,3.281,1.550,32,back,2.828,1.365,29,NA,0.816,0.718
2439,tailgate,tail,3.452,1.546,31,gate,2.500,1.796,30,NA,0.762,0.748
2440,taillight,tail,3.438,1.740,32,light,3.844,1.948,32,NA,0.650,0.656
2441,tailpiece,tail,3.433,1.331,31,piece,2.867,1.279,30,NA,0.785,0.744
2442,tailspin,tail,3.355,1.704,31,spin,3.600,1.923,30,NA,0.924,0.766
2443,tailwind,tail,3.452,1.650,31,wind,3.333,1.807,30,NA,0.765,0.686
2444,takeoff,take,3.156,1.762,32,off,3.625,1.904,32,3.80,0.821,0.784
2445,takeover,take,4.097,1.491,31,over,3.125,1.769,32,4.87,0.979,0.877
2446,tapeworm,tape,2.656,1.599,32,worm,5.000,1.702,30,3.67,0.923,0.586
2447,taproom,tap,3.250,1.685,32,room,3.733,1.461,30,NA,0.840,0.645
2448,taskmaster,task,4.219,1.947,32,master,3.469,1.630,32,NA,0.798,0.718
2449,taxicab,taxi,5.813,1.533,32,cab,5.667,1.807,30,5.40,0.529,0.527
2450,taximeter,taxi,4.581,1.361,31,meter,4.688,1.626,32,NA,0.693,0.716
